# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	13140	0.670150
Catharus aurantiirostris	range	0	360	13141	0.806149
Catharus aurantiirostris	range	0	360	13142	0.903575
Catharus aurantiirostris	range	0	360	13143	0.956349
Catharus aurantiirostris	range	0	360	13144	0.968816
Catharus aurantiirostris	range	0	360	13145	0.889157
Catharus aurantiirostris	range	0	360	13146	0.770133
Catharus aurantiirostris	range	0	360	13147	0.006170
Catharus aurantiirostris	range	0	360	13148	0.000478
Catharus aurantiirostris	range	0	360	13149	0.000334
Catharus aurantiirostris	range	0	360	13150	0.000222
Catharus aurantiirostris	range	0	360	13151	0.000140
Catharus aurantiirostris	range	0	360	13152	0.000934
Catharus aurantiirostris	range	0	360	13153	0.000585
Catharus aurantiirostris	range	0	360	13154	0.038387
Catharus aurantiirostris	range	0	360	13155	0.022608
Catharus aurantiirostris	range	0	360	13156	0.011304
Catharus aurantiirostris	range	0	360	13157	0.000034
Catharus aurantiirostris	range	0	360	13471	0.000003
Catharus aurantiirostris	range	0	360	13476	0.504334
Catharus aurantiirostris	range	0	360	13477	0.682393
Catharus aurantiirostris	range	0	360	13478	0.834965
Catharus aurantiirostris	range	0	360	13479	0.932135
Catharus aurantiirostris	range	0	360	13480	0.995465
Catharus aurantiirostris	range	0	360	13481	1.000000
Catharus aurantiirostris	range	0	360	13482	0.946852
Catharus aurantiirostris	range	0	360	13483	0.850564
Catharus aurantiirostris	range	0	360	13484	0.707860
Catharus aurantiirostris	range	0	360	13485	0.000567
Catharus aurantiirostris	range	0	360	13486	0.000426
Catharus aurantiirostris	range	0	360	13487	0.000316
Catharus aurantiirostris	range	0	360	13488	0.002373
Catharus aurantiirostris	range	0	360	13489	0.001793
Catharus aurantiirostris	range	0	360	13490	0.001289
Catharus aurantiirostris	range	0	360	13491	0.101018
Catharus aurantiirostris	range	0	360	13492	0.073117
Catharus aurantiirostris	range	0	360	13493	0.000417
Catharus aurantiirostris	range	0	360	13494	0.000019
Catharus aurantiirostris	range	0	360	13495	0.000011
Catharus aurantiirostris	range	0	360	13496	0.000008
Catharus aurantiirostris	range	0	360	13497	0.000003
Catharus aurantiirostris	range	0	360	13809	0.000003
Catharus aurantiirostris	range	0	360	13814	0.000450
Catharus aurantiirostris	range	0	360	13815	0.006032
Catharus aurantiirostris	range	0	360	13816	0.743528
Catharus aurantiirostris	range	0	360	13817	0.840820
Catharus aurantiirostris	range	0	360	13818	0.923150
Catharus aurantiirostris	range	0	360	13819	0.949833
Catharus aurantiirostris	range	0	360	13820	0.918640
Catharus aurantiirostris	range	0	360	13821	0.853978
Catharus aurantiirostris	range	0	360	13822	0.732781
Catharus aurantiirostris	range	0	360	13823	0.006388
Catharus aurantiirostris	range	0	360	13824	0.005140
Catharus aurantiirostris	range	0	360	13825	0.004255
Catharus aurantiirostris	range	0	360	13826	0.003576
Catharus aurantiirostris	range	0	360	13827	0.003018
Catharus aurantiirostris	range	0	360	13828	0.239189
Catharus aurantiirostris	range	0	360	13829	0.205956
Catharus aurantiirostris	range	0	360	13830	0.174919
Catharus aurantiirostris	range	0	360	13831	0.001124
Catharus aurantiirostris	range	0	360	13832	0.000073
Catharus aurantiirostris	range	0	360	13833	0.000046
Catharus aurantiirostris	range	0	360	13834	0.000023
Catharus aurantiirostris	range	0	360	13835	0.000011
Catharus aurantiirostris	range	0	360	13836	0.000003
Catharus aurantiirostris	range	0	360	14150	0.000003
Catharus aurantiirostris	range	0	360	14155	0.000366
Catharus aurantiirostris	range	0	360	14156	0.000486
Catharus aurantiirostris	range	0	360	14157	0.006048
Catharus aurantiirostris	range	0	360	14158	0.706720
Catharus aurantiirostris	range	0	360	14159	0.774619
Catharus aurantiirostris	range	0	360	14160	0.807575
Catharus aurantiirostris	range	0	360	14161	0.807662
Catharus aurantiirostris	range	0	360	14162	0.793803
Catharus aurantiirostris	range	0	360	14163	0.721843
Catharus aurantiirostris	range	0	360	14164	0.659622
Catharus aurantiirostris	range	0	360	14165	0.569683
Catharus aurantiirostris	range	0	360	14166	0.504588
Catharus aurantiirostris	range	0	360	14167	0.462125
Catharus aurantiirostris	range	0	360	14168	0.440103
Catharus aurantiirostris	range	0	360	14169	0.379727
Catharus aurantiirostris	range	0	360	14170	0.334041
Catharus aurantiirostris	range	0	360	14171	0.277538
Catharus aurantiirostris	range	0	360	14172	0.000230
Catharus aurantiirostris	range	0	360	14173	0.000159
Catharus aurantiirostris	range	0	360	14174	0.000108
Catharus aurantiirostris	range	0	360	14175	0.000062
Catharus aurantiirostris	range	0	360	14176	0.000030
Catharus aurantiirostris	range	0	360	14177	0.000011
Catharus aurantiirostris	range	0	360	14178	0.000003
Catharus aurantiirostris	range	0	360	14499	0.000425
Catharus aurantiirostris	range	0	360	14500	0.000496
Catharus aurantiirostris	range	0	360	14501	0.000562
Catharus aurantiirostris	range	0	360	14502	0.598667
Catharus aurantiirostris	range	0	360	14503	0.618263
Catharus aurantiirostris	range	0	360	14504	0.648843
Catharus aurantiirostris	range	0	360	14505	0.620295
