# taxon distribution range models
# data save on : 2023-10-04T14:59:22-03:00
taxon	type	age	equator	pixel	density
Catharus fuscescens	points	0	360	5479	1.000000
Catharus fuscescens	points	0	360	5480	1.000000
Catharus fuscescens	points	0	360	5482	1.000000
Catharus fuscescens	points	0	360	5483	1.000000
Catharus fuscescens	points	0	360	5484	1.000000
Catharus fuscescens	points	0	360	5485	1.000000
Catharus fuscescens	points	0	360	5489	1.000000
Catharus fuscescens	points	0	360	5492	1.000000
Catharus fuscescens	points	0	360	5493	1.000000
Catharus fuscescens	points	0	360	5494	1.000000
Catharus fuscescens	points	0	360	5495	1.000000
Catharus fuscescens	points	0	360	5496	1.000000
Catharus fuscescens	points	0	360	5499	1.000000
Catharus fuscescens	points	0	360	5709	1.000000
Catharus fuscescens	points	0	360	5724	1.000000
Catharus fuscescens	points	0	360	5725	1.000000
Catharus fuscescens	points	0	360	5726	1.000000
Catharus fuscescens	points	0	360	5727	1.000000
Catharus fuscescens	points	0	360	5728	1.000000
Catharus fuscescens	points	0	360	5729	1.000000
Catharus fuscescens	points	0	360	5730	1.000000
Catharus fuscescens	points	0	360	5731	1.000000
Catharus fuscescens	points	0	360	5732	1.000000
Catharus fuscescens	points	0	360	5733	1.000000
Catharus fuscescens	points	0	360	5734	1.000000
Catharus fuscescens	points	0	360	5735	1.000000
Catharus fuscescens	points	0	360	5736	1.000000
Catharus fuscescens	points	0	360	5737	1.000000
Catharus fuscescens	points	0	360	5738	1.000000
Catharus fuscescens	points	0	360	5739	1.000000
Catharus fuscescens	points	0	360	5740	1.000000
Catharus fuscescens	points	0	360	5743	1.000000
Catharus fuscescens	points	0	360	5744	1.000000
Catharus fuscescens	points	0	360	5745	1.000000
Catharus fuscescens	points	0	360	5959	1.000000
Catharus fuscescens	points	0	360	5960	1.000000
Catharus fuscescens	points	0	360	5976	1.000000
Catharus fuscescens	points	0	360	5977	1.000000
Catharus fuscescens	points	0	360	5979	1.000000
Catharus fuscescens	points	0	360	5980	1.000000
Catharus fuscescens	points	0	360	5981	1.000000
Catharus fuscescens	points	0	360	5982	1.000000
Catharus fuscescens	points	0	360	5983	1.000000
Catharus fuscescens	points	0	360	5984	1.000000
Catharus fuscescens	points	0	360	5985	1.000000
Catharus fuscescens	points	0	360	5986	1.000000
Catharus fuscescens	points	0	360	5987	1.000000
Catharus fuscescens	points	0	360	5988	1.000000
Catharus fuscescens	points	0	360	5989	1.000000
Catharus fuscescens	points	0	360	5990	1.000000
Catharus fuscescens	points	0	360	5991	1.000000
Catharus fuscescens	points	0	360	5992	1.000000
Catharus fuscescens	points	0	360	5993	1.000000
Catharus fuscescens	points	0	360	5994	1.000000
Catharus fuscescens	points	0	360	5995	1.000000
Catharus fuscescens	points	0	360	5996	1.000000
Catharus fuscescens	points	0	360	5997	1.000000
Catharus fuscescens	points	0	360	6215	1.000000
Catharus fuscescens	points	0	360	6236	1.000000
Catharus fuscescens	points	0	360	6238	1.000000
Catharus fuscescens	points	0	360	6239	1.000000
Catharus fuscescens	points	0	360	6240	1.000000
Catharus fuscescens	points	0	360	6241	1.000000
Catharus fuscescens	points	0	360	6242	1.000000
Catharus fuscescens	points	0	360	6243	1.000000
Catharus fuscescens	points	0	360	6244	1.000000
Catharus fuscescens	points	0	360	6245	1.000000
Catharus fuscescens	points	0	360	6246	1.000000
Catharus fuscescens	points	0	360	6247	1.000000
Catharus fuscescens	points	0	360	6248	1.000000
Catharus fuscescens	points	0	360	6249	1.000000
Catharus fuscescens	points	0	360	6475	1.000000
Catharus fuscescens	points	0	360	6495	1.000000
Catharus fuscescens	points	0	360	6497	1.000000
Catharus fuscescens	points	0	360	6498	1.000000
Catharus fuscescens	points	0	360	6499	1.000000
Catharus fuscescens	points	0	360	6500	1.000000
Catharus fuscescens	points	0	360	6501	1.000000
Catharus fuscescens	points	0	360	6502	1.000000
Catharus fuscescens	points	0	360	6503	1.000000
Catharus fuscescens	points	0	360	6504	1.000000
Catharus fuscescens	points	0	360	6505	1.000000
Catharus fuscescens	points	0	360	6506	1.000000
Catharus fuscescens	points	0	360	6507	1.000000
Catharus fuscescens	points	0	360	6508	1.000000
Catharus fuscescens	points	0	360	6740	1.000000
Catharus fuscescens	points	0	360	6743	1.000000
Catharus fuscescens	points	0	360	6761	1.000000
Catharus fuscescens	points	0	360	6762	1.000000
Catharus fuscescens	points	0	360	6763	1.000000
Catharus fuscescens	points	0	360	6764	1.000000
Catharus fuscescens	points	0	360	6765	1.000000
Catharus fuscescens	points	0	360	6766	1.000000
Catharus fuscescens	points	0	360	6767	1.000000
Catharus fuscescens	points	0	360	6768	1.000000
Catharus fuscescens	points	0	360	6769	1.000000
Catharus fuscescens	points	0	360	6770	1.000000
Catharus fuscescens	points	0	360	6771	1.000000
Catharus fuscescens	points	0	360	6772	1.000000
Catharus fuscescens	points	0	360	6773	1.000000
Catharus fuscescens	points	0	360	7012	1.000000
Catharus fuscescens	points	0	360	7016	1.000000
Catharus fuscescens	points	0	360	7038	1.000000
Catharus fuscescens	points	0	360	7039	1.000000
Catharus fuscescens	points	0	360	7040	1.000000
Catharus fuscescens	points	0	360	7041	1.000000
Catharus fuscescens	points	0	360	7042	1.000000
Catharus fuscescens	points	0	360	7289	1.000000
Catharus fuscescens	points	0	360	7290	1.000000
Catharus fuscescens	points	0	360	7309	1.000000
Catharus fuscescens	points	0	360	7312	1.000000
Catharus fuscescens	points	0	360	7313	1.000000
Catharus fuscescens	points	0	360	7565	1.000000
Catharus fuscescens	points	0	360	7566	1.000000
Catharus fuscescens	points	0	360	7585	1.000000
Catharus fuscescens	points	0	360	7586	1.000000
Catharus fuscescens	points	0	360	7867	1.000000
Catharus fuscescens	points	0	360	8150	1.000000
Catharus fuscescens	points	0	360	8151	1.000000
Catharus fuscescens	points	0	360	8439	1.000000
Catharus fuscescens	points	0	360	8730	1.000000
Catharus gracilirostris	points	0	360	16963	1.000000
Catharus gracilirostris	points	0	360	16964	1.000000
Catharus gracilirostris	points	0	360	17320	1.000000
Catharus guttatus	points	0	360	1870	1.000000
Catharus guttatus	points	0	360	2022	1.000000
Catharus guttatus	points	0	360	2023	1.000000
Catharus guttatus	points	0	360	2180	1.000000
Catharus guttatus	points	0	360	2344	1.000000
Catharus guttatus	points	0	360	2345	1.000000
Catharus guttatus	points	0	360	2347	1.000000
Catharus guttatus	points	0	360	2349	1.000000
Catharus guttatus	points	0	360	2352	1.000000
Catharus guttatus	points	0	360	2513	1.000000
Catharus guttatus	points	0	360	2515	1.000000
Catharus guttatus	points	0	360	2519	1.000000
Catharus guttatus	points	0	360	2521	1.000000
Catharus guttatus	points	0	360	2687	1.000000
Catharus guttatus	points	0	360	2688	1.000000
Catharus guttatus	points	0	360	2690	1.000000
Catharus guttatus	points	0	360	2691	1.000000
Catharus guttatus	points	0	360	2694	1.000000
Catharus guttatus	points	0	360	2696	1.000000
Catharus guttatus	points	0	360	2697	1.000000
Catharus guttatus	points	0	360	2708	1.000000
Catharus guttatus	points	0	360	2710	1.000000
Catharus guttatus	points	0	360	2863	1.000000
Catharus guttatus	points	0	360	2866	1.000000
Catharus guttatus	points	0	360	2875	1.000000
Catharus guttatus	points	0	360	2876	1.000000
Catharus guttatus	points	0	360	2877	1.000000
Catharus guttatus	points	0	360	2889	1.000000
Catharus guttatus	points	0	360	2891	1.000000
Catharus guttatus	points	0	360	3062	1.000000
Catharus guttatus	points	0	360	3063	1.000000
Catharus guttatus	points	0	360	3065	1.000000
Catharus guttatus	points	0	360	3255	1.000000
Catharus guttatus	points	0	360	3256	1.000000
Catharus guttatus	points	0	360	3267	1.000000
Catharus guttatus	points	0	360	3269	1.000000
Catharus guttatus	points	0	360	3276	1.000000
Catharus guttatus	points	0	360	3452	1.000000
Catharus guttatus	points	0	360	3453	1.000000
Catharus guttatus	points	0	360	3454	1.000000
Catharus guttatus	points	0	360	3455	1.000000
Catharus guttatus	points	0	360	3458	1.000000
Catharus guttatus	points	0	360	3463	1.000000
Catharus guttatus	points	0	360	3468	1.000000
Catharus guttatus	points	0	360	3636	1.000000
Catharus guttatus	points	0	360	3653	1.000000
Catharus guttatus	points	0	360	3654	1.000000
Catharus guttatus	points	0	360	3656	1.000000
Catharus guttatus	points	0	360	3657	1.000000
Catharus guttatus	points	0	360	3659	1.000000
Catharus guttatus	points	0	360	3664	1.000000
Catharus guttatus	points	0	360	3665	1.000000
Catharus guttatus	points	0	360	3667	1.000000
Catharus guttatus	points	0	360	3669	1.000000
Catharus guttatus	points	0	360	3670	1.000000
Catharus guttatus	points	0	360	3674	1.000000
Catharus guttatus	points	0	360	3675	1.000000
Catharus guttatus	points	0	360	3681	1.000000
Catharus guttatus	points	0	360	3861	1.000000
Catharus guttatus	points	0	360	3864	1.000000
Catharus guttatus	points	0	360	3865	1.000000
Catharus guttatus	points	0	360	3866	1.000000
Catharus guttatus	points	0	360	3867	1.000000
Catharus guttatus	points	0	360	3871	1.000000
Catharus guttatus	points	0	360	3872	1.000000
Catharus guttatus	points	0	360	3875	1.000000
Catharus guttatus	points	0	360	3876	1.000000
Catharus guttatus	points	0	360	3879	1.000000
Catharus guttatus	points	0	360	3880	1.000000
Catharus guttatus	points	0	360	3889	1.000000
Catharus guttatus	points	0	360	4073	1.000000
